iter	Passed	Remaining
180	69009	312259
181	69445	312124
182	69885	312000
183	70327	311886
184	70691	311424
185	71107	311190
186	71416	310490
187	71722	309778
188	72013	309012
189	72260	308059
190	72443	306842
191	72885	306725
192	73283	306423
193	73675	306097
194	73986	305429
195	74296	304765
196	74702	304498
197	75045	303974
198	75284	303031
199	75617	302470
200	75887	301663
201	76343	301594
202	76703	301145
203	77159	301075
204	77495	300531
205	77836	300009
206	78214	299634
207	78555	299114
208	78885	298557
209	79184	297883
210	79443	297066
211	79795	296597
212	80110	295994
213	80461	295528
214	80792	294987
215	81121	294441
216	81461	293937
217	81708	293100
218	81994	292409
219	82308	291820
220	82710	291545
221	83099	291223
222	83444	290744
223	83938	290785
224	84220	290091
225	84575	289653
226	84916	289165
227	85250	288656
228	85587	288156
229	86052	288088
230	86411	287663
231	86853	287516
232	87282	287320
233	87627	286849
234	88021	286538
235	88426	286260
236	88845	286030
237	89171	285497
238	89633	285400
239	89934	284792
240	90287	284349
241	90660	283968
242	90941	283302
243	91247	282717
244	91589	282246
245	91981	281926
246	92285	281340
247	92686	281048
248	93224	281169
249	93621	280865
250	93971	280417
251	94371	280117
252	94734	279708
253	95256	279769
254	95508	279034
255	95804	278432
256	96275	278336
257	96755	278265
258	97036	277623
259	97532	277591
260	97944	277321
261	98361	277063
262	98707	276606
263	99066	276186
264	99350	275556
265	99663	275010
266	100026	274604
267	100365	274131
268	100948	274323
269	101458	274313
270	101807	273866
271	102133	273356
272	102464	272863
273	102816	272425
274	103099	271808
275	103538	271601
276	103859	271083
277	104249	270749
278	104640	270415
279	105009	270024
280	105306	269450
281	105641	268972
282	105877	268248
283	106218	267790
284	106594	267421
285	106964	267037
286	107281	266521
287	107592	265993
288	107890	265432
289	108241	265004
290	108752	264967
291	109118	264574
292	109607	264478
293	110126	264452
294	110411	263864
295	110713	263318
296	111118	263018
297	111603	262904
298	111999	262579
299	112417	262306
300	112719	261764
301	113138	261492
302	113517	261128
303	113970	260932
304	114421	260731
305	114780	260320
306	115195	260034
307	115576	259671
308	115851	259073
309	116171	258574
310	116455	257999
311	116840	257649
312	117191	257223
313	117490	256681
314	117919	256427
315	118247	255953
316	118712	255774
317	119036	255292
318	119414	254924
319	119768	254508
320	120232	254323
321	120513	253751
322	120843	253284
323	121165	252802
324	121496	252338
325	121774	251766
326	122091	251277
327	122421	250814
328	122793	250438
329	123111	249952
330	123473	249559
331	123796	249084
332	124128	248630
333	124441	248138
334	124766	247671
335	125132	247285
336	125423	246752
337	125700	246193
338	126007	245696
339	126334	245236
340	126653	244764
341	126992	244331
342	127447	244120
343	127791	243695
344	128112	243228
345	128636	243144
346	129069	242888
347	129393	242426
348	129758	242042
349	130146	241700
350	130650	241572
351	131019	241194
352	131322	240696
353	131609	240168
354	132057	239935
355	132453	239607
356	132882	239338
357	133216	238897
358	133519	238400
359	133796	237861
360	134187	237522
361	134556	237146
362	134891	236710
363	135353	236496
364	135761	236187
365	136091	235742
366	136454	235356
367	136717	234796
368	137110	234462
369	137457	234049
370	137821	233664
371	138182	233276
372	138592	232969
373	138962	232594
374	139268	232114
375	139613	231699
376	140042	231423
377	140430	231078
378	140787	230683
379	141130	230266
380	141427	229772
381	141976	229689
382	142292	229227
383	142670	228867
384	142940	228333
385	143328	227989
386	143734	227672
387	144191	227435
388	144604	227129
389	145074	226911
390	145538	226682
391	145817	226165
392	146098	225653
393	146388	225155
394	146748	224767
395	146906	224070
396	147066	223377
397	147199	222398	398	147363	221399399	147855	2217400400	148304	2215401401	148625	2210402402	148811	2204403	148899	219663
404	149268	219296
405	149838	219222
406	150271	218946
407	150655	218597
408	151021	218223
409	151390	217855
410	151912	217704
411	152178	217187
412	152458	216690
413	152673	216103
414	152841	215451
415	153027	214827
416	153197	214182
417	153399	213585
418	153546	212912
419	153786	212371
420	154014	211816
421	154216	211225
422	154435	210659
423	154645	210084
424	154819	209461
425	155012	208866
426	155219	208292
427	155408	207696
428	155591	207092
429	155786	206507
430	155998	205947
431	156189	205360
432	156365	204755
433	156519	204125
434	156724	203562
435	156882	202939
436	157465	202868
437	157925	202635
438	158285	202274
439	158634	201898
440	159058	201618
441	159347	201167
442	159833	200963
443	160086	200469
444	160389	200036
445	160745	199670
446	161107	199311
447	161436	198913
448	161930	198717
449	162321	198392
450	162845	198231
451	163168	197823
452	163620	197572
453	163981	197211
454	164185	196661
455	164391	196116
456	164568	195537
457	164722	194933
458	164922	194385
459	165077	193786
460	165261	193223
461	165414	192626
462	16560463	16644463	16579464	16670464	16599465	167036	191411
466	167614	191302
467	168023	191001
468	168444	190712
469	168835	190389
470	169288	190135
471	169660	189789
472	170088	189506
473	170576	189289
474	171076	189084
475	171552	188852
476	171908	188487
477	172300	188160
478	172702	187845
479	173039	187459
480	173377	187074
481	173748	186725
482	174108	186364
483	174575	186117
484	175089	185919
485	175612	185730
486	176009	185405
487	176443	185121
488	176769	184722
489	177235	184469
490	177695	184209
491	178099	183891
492	178485	183554
493	178966	183314
494	179426	183051
495	179723	182621
496	179929	182101
497	180064	181510
498	180183	180906
499	180376	180376
500	180514	179794
501	180686	179247
502	180830	178673
503	180968	178096
504	181109	177523
505	181260	176962
506	181420	176411
507	507	180678	174987
508	181057	174654
509	181558	174438
510	181948	174115
511	182324	173777
512	182686	173427
513	183238	173256
514	183609	172913
515	184111	172694
516	184678	172532
517	185190	172319
518	185619	172029
519	186054	171742
520	186493	171459
521	186851	171101
522	187205	170739
523	187551	170370
524	188016	170110
525	188468	169836
526	189009	169642
527	189372	169287
528	189735	168932
529	190129	168605
530	190613	168356
531	190995	168018
532	191389	167690
533	191726	167311
534	192166	167023
535	192532	166669
536	192959	166369
537	193349	166036
538	193655	165630
539	194008	165266
540	194324	164870
541	194584	164427
542	194972	164092
543	195387	163780
544	195718	163397
545	196068	163031
546	196400	162649
547	196779	162307
548	197099	161915
549	197400	161509
550	197744	161138
551	198063	160747
552	198422	160388
553	198693	159958
554	199154	159682
555	199482	159298
556	199720	158844
557	200052	158464
558	200435	158125
559	200878	157832
560	201198	157444
561	201514	157052
562	201945	156749
563	202300	156388
564	202814	156148
565	203172	155789
566	203563	155454
567	203931	155102
568	204325	154770
569	204853	154538
570	205278	154228
571	205700	153915
572	206189	153652
573	206670	153382
574	207005	153003
575	207503	152745
576	207836	152365
577	208208	152013
578	208545	151636
579	208879	151257
580	209264	150915
581	209642	150568
582	209969	150184
583	210291	149796
584	210563	149374
585	210913	149007
586	211571	148856
587	212037	148570
588	212346	148173
589	212727	147827
590	213166	147521
591	213552	147178
592	213941	146836
593	214375	146525
594	214888	146268
595	215299	145940
596	215687	145597
597	216114	145280
598	216440	144896
599	216816	144544
600	217213	144206
601	217579	143848
602	217989	143518
603	218310	143130
604	218628	142741
605	219001	142386
606	219352	142019
607	219821	141727
608	220210	141383
609	220647	141069
610	220973	140685
611	221315	140311
612	221593	139896
613	221888	139493
614	222272	139146
615	222586	138755
616	223036	138448
617	223404	138091
618	223747	137718
619	224056	137325
620	224354	136925
621	224710	136560
622	225065	136195
623	225499	135877
624	225832	135499
625	226243	135167
626	226594	134800
627	226914	134414
628	227239	134031
629	227587	133662
630	227969	133313
631	228284	132925
632	228758	132629
633	229116	132266
634	229495	131914
635	229909	131583
636	230256	131213
637	230593	130838
638	230926	130460
639	231343	130130
640	231768	129805
641	232148	129453
642	232488	129080
643	232814	128698
644	233145	128320
645	233475	127941
646	233914	127622
647	234241	127242
648	234570	126863
649	234937	126504
650	235315	126152
651	235596	125747
652	235925	125369
653	236296	125013
654	236710	124679
655	237006	124283
656	237373	123925
657	237825	123611
658	238192	123252
659	238401	122812
660	238678	122408
661	239058	122056
662	239534	121754
663	239866	121378
664	240214	121010
665	240495	120608
666	240829	120234
667	241143	119849
668	241555	119513
669	241860	119125
670	242082	118696
671	242319	118274
672	242725	117936
673	243287	117673
674	243530	117255
675	244046	116969
676	244447	116626
677	244820	116271
678	245099	115871
679	245380	115473
680	245742	115112
681	246166	114781
682	246414	114368
683	246672	113959
684	246962	113566
685	247259	113176
686	247595	112805
687	247878	112410
688	248227	112044
689	248607	111693
690	248837	111274
691	249190	110911
692	249499	110528
693	249796	110140
694	250099	109755
695	250371	109357
696	250752	109007
697	251159	108667
698	251504	108301
699	251832	107928
700	252126	107540
701	252353	107124
702	252703	106760
703	252893	106330
704	253136	105922
705	253362	105507
706	253635	105113
707	254063	104783
708	254350	104394
709	254687	104027
710	254921	103618
711	255187	103221
712	255473	102834
713	255732	102436
714	256060	102066
715	256410	101704
716	256760	101343
717	257094	100975
718	257461	100621
719	257772	100244
720	258021	99844
721	258350	99475
722	258658	99098
723	258943	98713
724	259222	98325
725	259616	97982
726	259974	97624
727	260323	97263
728	260560	96861
729	260768	96448
730	261032	96056
731	261315	95673
732	261610	95293
733	261898	94911
734	262175	94525
735	262455	94141
736	262691	93742
737	262921	93340
738	263237	92970
739	263492	92578
740	263713	92175
741	264052	91813
742	264381	91448
743	264635	91057
744	264859	90656
745	265101	90262
746	265402	89888
747	265628	89489
748	265836	89085
749	266158	88719
750	266415	88332
751	266685	87949
752	266931	87559
753	267211	87180
754	267491	86802
755	267779	86426
756	268115	86066
757	268422	85696
758	268745	85332
759	269038	84959
760	269322	84583
761	269644	84219
762	269996	83865
763	270371	83517
764	270685	83151
765	271011	82789
766	271342	82428
767	271687	82072
768	271955	81692
769	272228	81315
770	272467	80927
771	272798	80567
772	273109	80201
773	273392	79827
774	273655	79448
775	273929	79072
776	274351	78739
777	274611	78359
778	274934	77998
779	275279	77642
780	275629	77289
781	275936	76923
782	276366	76592
783	276625	76213
784	276891	75836
785	277246	75484
786	277639	75142
787	277937	74774
788	278241	74409
789	278599	74058
790	278880	73686
791	279263	73341
792	279640	72995
793	279918	72623
794	280173	72245
795	280445	71872
796	280626	71476
797	280770	71072
798	280929	70671
799	281081	70270
800	281260	69876
801	281433	69481
802	281595	69083
803	281732	68681
804	281862	68277
805	282003	67876
806	282183	67486
807	282353	67093
808	282505	66697
809	282651	66300
810	282828	65912
811	282990	65519
812	283150	65128
813	283305	64735
814	283470	64346
815	283627	63955
816	283780	63564
817	283925	63171
818	284080	62782
819	284224	62390
820	284370	62000
821	284526	61612
822	284659	61220
823	284801	60831
824	284948	60443
825	285061	60049
826	285172	59655
827	285326	59270
828	285460	58882
829	285586	58493
830	285707	58104
831	285847	57719
832	286003	57338
833	286131	56951
834	286251	56564
835	286390	56181
836	286512	55796
837	286625	55409
838	286754	55026
839	286871	54642
840	286979	54256
841	287062	53866
842	287167	53481
843	287286	53100
844	287430	52724
845	287560	52345
846	287671	51964
847	287808	51588
848	287946	51213
849	288073	50836
850	288209	50462
851	288361	50090
852	288474	49713
853	288642	49346
854	288812	48979
855	288981	48613
856	289129	48244
857	289302	47879
858	289440	47510
859	289630	47149
860	289894	46800
861	290156	46451
862	290434	46105
863	290621	45746
864	290744	45376
865	290889	45010
866	291041	44646
867	291207	44285
868	291462	43937
869	291668	43582
870	291905	43232
871	292057	42870
872	292356	42530
873	292599	42182
874	292869	41838
875	293170	41499
876	293403	41150
877	293619	40799
878	293847	40450
879	294157	40112
880	294368	39761
881	294609	39414
882	294872	39071
883	295165	38732
884	295436	38390
885	295663	38042
886	295877	37693
887	296057	37340
888	296247	36989
889	296405	36634
890	296578	36281
891	296755	35930
892	296929	35578
893	297077	35223
894	297245	34872
895	297438	34524
896	297591	34171
897	297745	33819
898	297920	33470
899	298084	33120
900	298251	32771
901	298440	32424
902	298573	32072
903	298700	31720
904	298830	31368
905	298948	31016
906	299071	30665
907	299217	30317
908	299413	29974
909	299600	29630
910	299720	29281
911	299846	28932
912	299973	28584
913	300108	28237
914	300250	27892
915	300377	27545
916	300497	27198
917	300636	26854
918	300746	26507
919	300894	26164
920	301021	25820
921	301101	25472
922	301191	25126
923	301298	24782
924	301390	24437
925	301477	24092
926	301570	23748
927	301659	23404
928	301752	23061
929	301850	22719
930	301945	22378
931	302048	22037
932	302154	21698
933	302237	21357
934	302331	21017
935	302454	20680
936	302550	20342
937	302652	20004
938	302755	19667
939	302857	19331
940	302947	18994
941	303053	18659
942	303148	18323
943	303239	17988
944	303336	17654
945	303446	17321
946	303569	16989
947	303680	16657
948	303779	16325
949	303872	15993
950	303975	15662
951	304082	15331
952	304167	15000
953	304266	14671
954	304376	14342
955	304473	14013
956	304566	13684
957	304670	13357
958	304755	13029
959	304829	12701
960	304916	12374
961	305005	12048
962	305086	11721
963	305158	11395
964	305235	11070
965	305307	10745
966	305403	10422
967	305473	10098
968	305535	9774
969	305601	9451
970	305674	9129
971	305735	8807
972	305800	8485
973	305867	8164
974	305950	7844
975	306040	7525
976	306113	7206
977	306183	6887
978	306259	6569
979	306330	6251
980	306412	5934
981	306483	5617
982	306556	5301
983	306622	4985
984	306702	4670
985	306767	4355
986	306839	4041
987	306906	3727
988	306980	3414
989	307052	3101
990	307113	2789
991	307174	2477
992	307239	2165
993	307322	1855
994	307394	1544
995	307462	1234
996	307531	925
997	307600	616
998	307648	307
999	307697	0
