CPI,CPI_Lag1,Total stock_Lag2
73.7170790350202,73.7170790350202,1092244.18690956
73.7126842604358,73.7170790350202,1092244.18690956
73.7083012371256,73.7126842604358,1092244.18690956
73.7039299650896,73.7083012371256,1091646.22800427
73.6995704443277,73.7039299650896,1091050.3646043
73.69522267484,73.6995704443277,1090456.59670967
73.69522267484,73.69522267484,1089864.92432037
73.69522267484,73.69522267484,1089275.34743639
73.6908866566264,73.69522267484,1089275.34743639
73.686562389687,73.6908866566264,1089275.34743639
73.6822498740218,73.686562389687,1088687.86605775
73.6779491096307,73.6822498740218,1088102.48018444
73.6736600965138,73.6779491096307,1087519.18981645
73.6736600965138,73.6736600965138,1086937.9949538
73.6736600965138,73.6736600965138,1086358.89559648
73.669382834671,73.6736600965138,1086358.89559648
73.6651173241024,73.669382834671,1086358.89559648
73.660863564808,73.6651173241024,1085781.89174448
73.6566215567877,73.660863564808,1085206.98339782
73.6523913000415,73.6566215567877,1084634.17055649
73.6523913000415,73.6523913000415,1084063.45322048
73.6523913000415,73.6523913000415,1083494.83138981
73.6481727945695,73.6523913000415,1083494.83138981
73.6439660403717,73.6481727945695,1083494.83138981
73.6397710374481,73.6439660403717,1082928.30506447
73.6355877857985,73.6397710374481,1082363.87424445
73.9,73.6355877857985,1081801.53892977
73.9,73.9,1081241.29912042
73.9,73.9,1080683.15481639
73.9,73.9,1080683.15481639
73.627256536322,73.9,1080683.15481639
73.623108538495,73.627256536322,1080683.15481639
73.6189722919421,73.623108538495,1080127.1060177
73.6148477966634,73.6189722919421,1079573.15272434
73.6148477966634,73.6148477966634,1079021.2949363
73.6148477966634,73.6148477966634,1078471.5326536
73.6107350526589,73.6148477966634,1078471.5326536
73.6066340599285,73.6107350526589,1078471.5326536
73.6025448184722,73.6066340599285,1077923.86587623
73.5984673282901,73.6025448184722,1077378.29460419
73.5944015893822,73.5984673282901,1076834.81883747
73.5944015893822,73.5944015893822,1076293.43857609
73.5944015893822,73.5944015893822,1075754.15382004
73.5903476017484,73.5944015893822,1075754.15382004
73.5863053653888,73.5903476017484,1075754.15382004
73.5822748803034,73.5863053653888,1075216.96456931
73.5782561464921,73.5822748803034,1074681.87082392
73.5742491639549,73.5782561464921,1074148.87258385
73.5742491639549,73.5742491639549,1073617.96984912
73.5742491639549,73.5742491639549,1073089.16261972
73.570253932692,73.5742491639549,1073089.16261972
73.5662704527031,73.570253932692,1073089.16261972
73.5622987239885,73.5662704527031,1072562.45089564
73.558338746548,73.5622987239885,1072037.8346769
