Date,Private Domestic (Price Index),First hand sales quantity,First hand sales amount,Total completions,Total stock,Total take up,Total vacancy,Unemployment rate (seasonally adjusted) (%),CPI,HIBOR (1-month),M3 (HK$ million),HSI - close,HSI - volume
2003-01-02,64.5597693350411,1854.68920801361,5846897325.63752,32713.1032093052,1092844.24132018,19914.0833229951,74177.8183179448,7.3015249856471,73.7214855608787,1.4442,3562188.72414482,9365.519531,126907400.0
2003-01-03,64.5068480079342,1892.76237174258,5927522758.61609,32713.1032093052,1092244.18690956,19900.0068135759,74155.6210013783,7.29904287980305,73.7170790350202,1.41741,3562585.95738311,9583.849609,291454400.0
2003-01-04,64.5068480079342,1892.76237174258,5927522758.61609,32713.1032093052,1092244.18690956,19900.0068135759,74155.6210013783,7.29904287980305,73.7170790350202,1.41741,3562585.95738311,9583.849609,291454400.0
2003-01-05,64.5068480079342,1892.76237174258,5927522758.61609,32713.1032093052,1092244.18690956,19900.0068135759,74155.6210013783,7.29904287980305,73.7170790350202,1.41741,3562585.95738311,9583.849609,291454400.0
2003-01-06,64.4538477017415,1931.33886629524,5998876298.93666,32713.1032093052,1091646.22800427,19886.1252361367,74133.4292512729,7.29656149520537,73.7126842604358,1.40402,3563043.79311541,9665.959961,234912800.0
2003-01-07,64.400768416463,1970.41869167158,6060957946.59922,32713.1032093052,1091050.3646043,19872.4385906774,74111.2430676283,7.29408083185407,73.7083012371256,1.39063,3563562.2313417,9652.400391,267021800.0
2003-01-08,64.3476101520986,2010.00184787162,6113767701.60378,32713.1032093052,1090456.59670967,19858.9468771982,74089.0624504448,7.29160088974914,73.7039299650896,1.39732,3564141.27206199,9688.209961,202439200.0
2003-01-09,64.2943729086483,2050.08833489535,6157305563.95035,32713.1032093052,1089864.92432037,19845.6500956989,74066.8873997223,7.28912166889058,73.6995704443277,1.4308,3564780.91527628,9675.410156,129623200.0
2003-01-10,64.2410566861122,2090.67815274277,6191571533.6389,32713.1032093052,1089275.34743639,19832.5482461796,74044.7179154607,7.28664316927839,73.69522267484,1.43973,3565481.16098457,9721.5,172862200.0
2003-01-11,64.2410566861122,2090.67815274277,6191571533.6389,32713.1032093052,1089275.34743639,19832.5482461796,74044.7179154607,7.28664316927839,73.69522267484,1.43973,3565481.16098457,9721.5,172862200.0
