iter	MultiClass
0	0.9155449427
1	0.779843752
2	0.674019237
3	0.5876286049
4	0.5165413848
5	0.4572544937
6	0.4071824351
7	0.3632924576
8	0.326049382
9	0.293076117
10	0.2643512779
11	0.2393540046
12	0.2166132716
13	0.196337957
14	0.1786205199
15	0.1629061628
16	0.1488229526
17	0.1358524189
18	0.1247152912
19	0.1146125093
20	0.1050735977
21	0.09634487146
22	0.08917727233
23	0.08225928208
24	0.07591437006
25	0.07026368263
26	0.06530712277
27	0.06077897808
28	0.05644759286
29	0.05273470559
30	0.0494277828
31	0.04639051026
32	0.04348063206
33	0.0409912457
34	0.03872713157
35	0.0367593657
36	0.0347527538
37	0.03286825455
38	0.03114341433
39	0.02956735946
40	0.02827328762
41	0.02717675798
42	0.0259871765
43	0.02500169808
44	0.0239539488
45	0.02298570474
46	0.02226152145
47	0.02161163992
48	0.02108517662
49	0.02032569869
50	0.01966324466
51	0.01923415485
52	0.01880060544
53	0.01838541484
54	0.01778187135
55	0.01735575144
56	0.01696506989
57	0.01647645088
58	0.01615672823
59	0.01585920312
60	0.01556154394
61	0.01513797576
62	0.01488321183
63	0.01464135495
64	0.01443139807
65	0.01421317957
66	0.01388246502
67	0.01374276846
68	0.01348815273
69	0.01321198557
70	0.0129850268
71	0.01285903768
72	0.01264558442
73	0.01247003019
74	0.01236312793
75	0.01224940317
76	0.012090016
77	0.01200181321
78	0.01185945808
79	0.01167408053
80	0.0115908778
81	0.01135917745
82	0.01125464537
83	0.01115330708
84	0.01098187479
85	0.0108805645
86	0.01079507544
87	0.01068743601
88	0.01059762012
89	0.01053067698
90	0.01042357318
91	0.01037346046
92	0.01032782849
93	0.0102538009
94	0.01017723707
95	0.0100242088
96	0.009944441888
97	0.009902324813
98	0.009800029677
99	0.009698888774
100	0.009603616036
101	0.009569919315
102	0.009521633722
103	0.009448308502
104	0.00938844474
105	0.009283719341
106	0.009200132578
107	0.009074575258
108	0.008955809435
109	0.008889207629
110	0.008830813165
111	0.008648135683
112	0.008514084943
113	0.008416321954
114	0.008328105942
115	0.008266520742
116	0.008151475303
117	0.008066512678
118	0.008019338591
119	0.007985496393
120	0.007932187286
121	0.007892768102
122	0.007842226439
123	0.007786679098
124	0.00774096914
125	0.007685880442
126	0.007598838717
127	0.007547779316
128	0.00750350241
129	0.007457165097
130	0.007435952705
131	0.00742414469
132	0.007377228151
133	0.007335168098
134	0.007283644379
135	0.007246863326
136	0.007213896321
