iter	Passed	Remaining
404	6750	9917
405	6766	9900
406	6784	9884
407	6799	9866
408	6816	9849
409	6832	9832
410	6850	9818
411	6868	9802
412	6885	9786
413	6901	9768
414	6917	9751
415	6934	9734
416	6951	9718
417	6967	9700
418	6984	9685
419	7002	9669
420	7019	9653
421	7036	9638
422	7055	9623
423	7073	9609
424	7090	9593
425	7107	9576
426	7124	9560
427	7141	9543
428	7157	9526
429	7175	9511
430	7191	9493
431	7207	9476
432	7222	9457
433	7238	9440
434	7254	9422
435	7271	9405
436	7287	9389
437	7304	9372
438	7320	9355
439	7335	9336
440	7351	9317
441	7370	9304
442	7387	9288
443	7403	9271
444	7421	9256
445	7444	9247
446	7460	9229
447	7477	9213
448	7493	9195
449	7510	9179
450	7526	9162
451	7542	9144
452	7557	9126
453	7573	9108
454	7590	9092
455	7606	9074
456	7622	9056
457	7638	9039
458	7654	9022
459	7670	9004
460	7687	8987
461	7702	8969
462	7718	8952
463	7736	8936
464	7752	8919
465	7770	8903
466	7785	8885
467	7801	8868
468	7817	8850
469	7832	8832
470	7849	8816
471	7865	8799
472	7883	8783
473	7901	8768
474	7918	8751
475	7935	8736
476	7953	8720
477	7970	8703
478	7987	8687
479	8003	8670
480	8020	8654
481	8036	8636
482	8054	8621
483	8070	8604
484	8085	8586
485	8101	8568
486	8118	8552
487	8134	8534
488	8150	8517
489	8167	8501
490	8184	8484
491	8202	8469
492	8218	8452
493	8242	8442
494	8259	8426
495	8275	8408
496	8291	8391
497	8307	8373
498	8322	8355
499	8338	8338
500	8355	8322
501	8373	8306
502	8389	8289
503	8405	8271
504	8425	8258
505	8442	8242
506	8459	8226
507	8477	8210
508	8493	8192
509	8515	8181
510	8532	8164
511	8553	8152
512	8568	8134
513	8585	8117
514	8601	8100
515	8619	8084
516	8637	8069
517	8653	8051
518	8681	8045
519	8708	8038
520	8740	8035
521	8767	8028
522	8788	8015
523	8812	8005
524	8832	7991
525	8854	7979
526	8875	7966
527	8897	7953
528	8917	7939
529	8940	7927
530	8963	7917
531	8982	7902
532	9001	7886
533	9019	7871
534	9038	7855
535	9055	7839
536	9073	7823
537	9092	7808
538	9112	7793
539	9132	7779
540	9148	7762
541	9166	7745
542	9185	7730
543	9201	7713
544	9217	7695
545	9234	7678
546	9253	7663
547	9271	7647
548	9287	7629
549	9303	7612
550	9319	7594
551	9336	7577
552	9354	7561
553	9371	7544
554	9389	7528
555	9407	7512
556	9423	7494
557	9439	7476
558	9456	7460
559	9477	7446
560	9495	7430
561	9510	7412
562	9532	7398
563	9552	7384
564	9578	7374
565	9597	7358
566	9614	7342
567	9630	7324
568	9646	7306
569	9660	7288
570	9676	7270
571	9691	7251
572	9705	7232
573	9721	7214
574	9739	7198
575	9756	7181
576	9771	7163
577	9786	7145
578	9803	7128
579	9816	7108
580	9833	7091
581	9848	7072
582	9864	7055
583	9880	7037
584	9895	7019
585	9911	7002
586	9928	6985
587	9943	6966
588	9959	6949
589	9973	6930
590	9988	6912
591	10003	6894
592	10017	6875
593	10033	6857
594	10048	6839
595	10064	6822
596	10080	6804
597	10095	6786
598	10110	6768
599	10124	6749
600	10137	6730
601	10155	6714
602	10170	6695
603	10183	6676
604	10199	6659
605	10214	6641
606	10229	6623
607	10242	6604
608	10256	6585
609	10271	6566
610	10289	6551
611	10306	6534
612	10322	6516
613	10337	6498
614	10352	6480
615	10367	6462
616	10383	6445
617	10405	6431
618	10428	6419
619	10447	6403
620	10461	6384
621	10478	6367
622	10496	6351
623	10511	6333
624	10525	6315
625	10540	6297
626	10556	6280
627	10570	6261
628	10585	6243
629	10599	6225
630	10614	6207
631	10628	6188
632	10643	6170
633	10657	6152
634	10671	6133
635	10684	6114
636	10698	6096
637	10712	6078
638	10728	6060
639	10743	6043
640	10758	6025
641	10773	6007
642	10787	5989
643	10802	5971
644	10818	5954
645	10831	5935
646	10845	5917
647	10860	5899
648	10874	5881
649	10891	5864
650	10907	5847
651	10921	5829
652	10937	5811
653	10952	5794
654	10967	5776
655	10982	5759
656	10996	5741
657	11010	5722
658	11025	5705
659	11039	5687
660	11053	5668
661	11069	5651
662	11082	5633
663	11096	5615
664	11109	5596
665	11123	5578
666	11136	5559
667	11150	5541
668	11164	5523
669	11177	5505
670	11191	5487
671	11204	5468
672	11218	5450
673	11230	5432
674	11245	5414
675	11259	5396
676	11273	5378
677	11286	5360
678	11299	5342
679	11315	5324
680	11328	5306
681	11341	5288
682	11355	5270
683	11369	5252
684	11382	5234
685	11396	5216
686	11411	5199
687	11425	5181
688	11439	5163
689	11452	5145
690	11467	5127
691	11486	5112
692	11500	5094
693	11515	5077
694	11528	5059
695	11541	5041
696	11555	5023
697	11568	5005
698	11582	4987
699	11595	4969
700	11609	4951
701	11621	4933
702	11635	4915
703	11648	4897
704	11661	4879
705	11673	4861
706	11686	4843
707	11700	4825
708	11713	4807
709	11728	4790
710	11742	4772
711	11755	4755
712	11768	4737
713	11781	4719
714	11795	4701
715	11808	4683
716	11821	4665
717	11834	4648
718	11848	4630
719	11862	4613
720	11876	4595
721	11889	4578
722	11903	4560
723	11916	4542
724	11929	4525
725	11944	4507
726	11957	4490
727	11970	4472
728	11985	4455
729	12000	4438
730	12014	4421
731	12035	4406
732	12049	4389
733	12063	4371
734	12077	4354
735	12092	4337
736	12106	4320
737	12121	4303
738	12135	4286
739	12149	4268
740	12163	4251
741	12176	4233
742	12188	4215
743	12201	4198
744	12215	4181
745	12228	4163
746	12241	4146
747	12254	4128
748	12268	4111
749	12282	4094
750	12296	4076
751	12310	4059
752	12323	4042
753	12336	4024
754	12351	4007
755	12365	3990
756	12377	3973
757	12391	3956
758	12404	3938
759	12418	3921
760	12431	3904
761	12446	3887
762	12460	3870
763	12474	3853
764	12487	3836
765	12500	3818
766	12514	3801
767	12528	3784
768	12541	3767
769	12556	3750
770	12569	3733
771	12582	3716
772	12595	3698
773	12608	3681
774	12622	3664
775	12636	3647
776	12650	3630
777	12664	3613
778	12678	3596
779	12692	3579
780	12705	3562
781	12718	3545
782	12731	3528
783	12746	3511
784	12759	3494
785	12774	3477
786	12787	3460
787	12800	3443
788	12813	3426
789	12826	3409
790	12840	3392
791	12853	3375
792	12867	3358
793	12881	3342
794	12895	3325
795	12908	3308
796	12922	3291
797	12936	3274
798	12950	3257
799	12964	3241
800	12979	3224
801	12992	3207
802	13007	3191
803	13019	3174
804	13033	3157
805	13045	3140
806	13058	3123
807	13072	3106
808	13086	3089
809	13100	3072
810	13113	3056
811	13125	3039
812	13139	3022
813	13152	3005
814	13165	2988
815	13178	2971
816	13192	2954
817	13206	2938
818	13219	2921
819	13233	2904
820	13247	2888
821	13262	2871
822	13276	2855
823	13290	2838
824	13304	2822
825	13317	2805
826	13331	2788
827	13345	2772
828	13359	2755
829	13375	2739
830	13388	2722
831	13402	2706
832	13415	2689
833	13428	2672
834	13442	2656
835	13455	2639
836	13469	2623
837	13483	2606
838	13496	2589
839	13509	2573
840	13525	2557
841	13544	2541
842	13558	2525
843	13573	2508
844	13587	2492
845	13601	2475
846	13613	2459
847	13626	2442
848	13641	2426
849	13653	2409
850	13667	2393
851	13681	2376
852	13695	2360
853	13709	2343
854	13722	2327
855	13734	2310
856	13749	2294
857	13764	2278
858	13777	2261
859	13792	2245
860	13805	2228
861	13819	2212
862	13832	2195
863	13846	2179
864	13860	2163
865	13874	2146
866	13887	2130
867	13900	2113
868	13913	2097
869	13927	2081
870	13941	2064
871	13954	2048
872	13968	2032
873	13982	2015
874	13996	1999
875	14009	1983
876	14023	1966
877	14037	1950
878	14050	1934
879	14064	1917
880	14077	1901
881	14090	1885
882	14104	1868
883	14117	1852
884	14131	1836
885	14144	1819
886	14157	1803
887	14170	1787
888	14189	1771
889	14202	1755
890	14214	1738
891	14227	1722
892	14240	1706
893	14253	1690
894	14266	1673
895	14280	1657
896	14293	1641
897	14308	1625
898	14321	1609
899	14335	1592
900	14348	1576
901	14362	1560
902	14376	1544
903	14389	1528
904	14402	1511
905	14415	1495
906	14429	1479
907	14442	1463
908	14456	1447
909	14469	1431
910	14482	1414
911	14496	1398
912	14509	1382
913	14522	1366
914	14536	1350
915	14549	1334
916	14563	1318
917	14577	1302
918	14590	1286
919	14603	1269
920	14617	1253
921	14631	1237
922	14644	1221
923	14659	1205
924	14672	1189
925	14685	1173
926	14699	1157
927	14712	1141
928	14725	1125
929	14739	1109
930	14753	1093
931	14766	1077
932	14778	1061
933	14791	1045
934	14805	1029
935	14818	1013
936	14832	997
937	14845	981
938	14858	965
939	14871	949
940	14885	933
941	14899	917
942	14913	901
943	14927	885
944	14940	869
945	14954	853
946	14968	837
947	14982	821
948	14996	805
949	15011	790
950	15025	774
951	15040	758
952	15054	742
953	15069	726
954	15083	710
955	15097	694
956	15110	678
957	15123	663
958	15136	647
959	15150	631
960	15164	615
961	15177	599
962	15192	583
963	15207	567
964	15220	552
965	15233	536
966	15247	520
967	15261	504
968	15275	488
969	15288	472
970	15301	457
971	15315	441
972	15327	425
973	15340	409
974	15354	393
975	15367	377
976	15381	362
977	15394	346
978	15408	330
979	15421	314
980	15434	298
981	15447	283
982	15462	267
983	15476	251
984	15490	235
985	15502	220
986	15517	204
987	15530	188
988	15548	172
989	15562	157
990	15575	141
991	15588	125
992	15602	109
993	15615	94
994	15627	78
995	15640	62
996	15655	47
997	15669	31
998	15682	15
999	15695	0
